Daily_cases;Date;Open;High;Low;Close;Adj Close;Volume;Index;Name;Country_Name;Country_Code;WHO_region
28;24.06.2020;25034.87;25071.32;24770.95;24781.58;24781.58;1431913700;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
52;23.06.2020;11618.42;11679.4;11530.85;11612.36;11612.36;3057500;TWII;TSEC weighted index;Taiwan;CN;WPRO
52;23.06.2020;11711.28;11796.41;11651.83;11794.01;11794.01;1582600;399001.SZ;Shenzhen Component;China;CN;WPRO
52;23.06.2020;2960.89;2972.4;2949.85;2970.62;2970.62;225200;000001.SS;SSE Composite Index;China;CN;WPRO
52;23.06.2020;24541.44;24907.34;24184.88;24907.34;24907.34;1549053700;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
21;22.06.2020;11553.91;11632.88;11553.91;11572.93;11572.93;2950700;TWII;TSEC weighted index;Taiwan;CN;WPRO
21;22.06.2020;11680.41;11756.86;11658.81;11702.44;11702.44;1746900;399001.SZ;Shenzhen Component;China;CN;WPRO
21;22.06.2020;2966.9;2983.44;2959.03;2965.27;2965.27;267900;000001.SS;SSE Composite Index;China;CN;WPRO
21;22.06.2020;24528.53;24628.95;24391.17;24511.34;24511.34;1612294200;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
37;19.06.2020;11557.27;11584.88;11542.37;11549.86;11549.86;4580400;TWII;TSEC weighted index;Taiwan;CN;WPRO
37;19.06.2020;11505.69;11694.89;11500.53;11668.13;11668.13;1643900;399001.SZ;Shenzhen Component;China;CN;WPRO
37;19.06.2020;2938.79;2973.32;2935.82;2967.63;2967.63;264300;000001.SS;SSE Composite Index;China;CN;WPRO
37;19.06.2020;24373.36;24776.54;24334.36;24643.89;24643.89;2390285700;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
36;18.06.2020;11534.2;11567.42;11485.39;11548.33;11548.33;3404900;TWII;TSEC weighted index;Taiwan;CN;WPRO
36;18.06.2020;11416.08;11503.38;11397.57;11494.55;11494.55;1735900;399001.SZ;Shenzhen Component;China;CN;WPRO
36;18.06.2020;2929.88;2942.9;2920.11;2939.32;2939.32;258700;000001.SS;SSE Composite Index;China;CN;WPRO
36;18.06.2020;24386.31;24464.94;24121.89;24464.94;24464.94;1811327100;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
44;17.06.2020;11525.5;11550.32;11482.32;11534.59;11534.59;3138800;TWII;TSEC weighted index;Taiwan;CN;WPRO
44;17.06.2020;11421.03;11421.03;11330.37;11420.84;11420.84;1563000;399001.SZ;Shenzhen Component;China;CN;WPRO
44;17.06.2020;2932.67;2936.62;2919.04;2935.87;2935.87;234700;000001.SS;SSE Composite Index;China;CN;WPRO
44;17.06.2020;24363.39;24532.01;24195.82;24481.41;24481.41;1278279300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
45;16.06.2020;11380.67;11542.25;11380.67;11511.64;11511.64;2915500;TWII;TSEC weighted index;Taiwan;CN;WPRO
45;16.06.2020;11312.81;11398.97;11293.9;11398.97;11398.97;1528000;399001.SZ;Shenzhen Component;China;CN;WPRO
45;16.06.2020;2912.83;2931.78;2909.13;2931.75;2931.75;223300;000001.SS;SSE Composite Index;China;CN;WPRO
45;16.06.2020;24318.15;24534.77;24302.25;24344.09;24344.09;1611589900;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
49;15.06.2020;11436.28;11469.84;11299.45;11306.26;11306.26;3034000;TWII;TSEC weighted index;Taiwan;CN;WPRO
49;15.06.2020;11241.26;11353.16;11192.27;11192.27;11192.27;1689200;399001.SZ;Shenzhen Component;China;CN;WPRO
49;15.06.2020;2908.28;2922.54;2890.03;2890.03;2890.03;243200;000001.SS;SSE Composite Index;China;CN;WPRO
