Date,Open,High,Low,Close,Adj Close,Volume,Index
2020-05-28,11935.88,11939.74,11783.22,11804.91,11804.91,5402670000.0,NYA
2020-05-27,11787.56,11837.55,11602.43,11837.53,11837.53,6371230000.0,NYA
2020-05-26,11636.54,11676.96,11590.31,11603.0,11603.0,5837060000.0,NYA
2020-05-22,11325.08,11333.65,11247.29,11331.97,11331.97,3952800000.0,NYA
2020-05-21,11393.92,11447.26,11287.43,11351.6,11351.6,4966940000.0,NYA
2020-05-20,11408.61,11477.33,11384.36,11420.04,11420.04,4992970000.0,NYA
2020-05-19,11374.23,11409.66,11248.54,11248.97,11248.97,4969330000.0,NYA
2020-05-18,11282.89,11454.35,11282.89,11402.23,11402.23,6364290000.0,NYA
2020-05-15,10927.41,10968.17,10817.12,10947.32,10947.32,5477040000.0,NYA
2020-05-14,10661.93,10927.85,10551.55,10927.41,10927.41,5641920000.0,NYA
2020-05-13,11035.23,11038.38,10747.81,10829.44,10829.44,6143130000.0,NYA
2020-05-12,11332.42,11343.39,11055.58,11055.58,11055.58,5107710000.0,NYA
2020-05-11,11244.25,11345.43,11205.4,11281.37,11281.37,4807320000.0,NYA
2020-05-08,11281.3,11360.11,11237.51,11354.34,11354.34,4857160000.0,NYA
2020-05-08,11281.3,11360.11,11237.51,11354.34,11354.34,4857160000.0,NYA
2020-05-07,11140.93,11228.25,11109.56,11121.67,11121.67,5164640000.0,NYA
2020-05-06,11196.87,11204.53,10999.99,10999.99,10999.99,4861920000.0,NYA
2020-05-05,11188.97,11259.2,11124.69,11135.4,11135.4,5129590000.0,NYA
2020-05-04,10965.77,11061.96,10900.39,11056.28,11056.28,4723140000.0,NYA
2020-05-01,11158.87,11187.77,11011.46,11058.57,11058.57,4753160000.0,NYA
2020-04-30,11473.23,11492.91,11326.2,11372.34,11372.34,6523120000.0,NYA
2020-04-29,11546.4,11675.3,11513.08,11618.23,11618.23,6620140000.0,NYA
2020-04-28,11462.38,11481.3,11272.78,11319.7,11319.7,5672880000.0,NYA
