date,daily_cases,Country
"June 18, 2020","['27,921', '27,921']",US
"June 17, 2020","['18,514']",US
"June 16, 2020","['21,754', '21,754']",US
"June 15, 2020","['25,314']",US
"June 14, 2020","['22,133', '22,133']",US
"June 13, 2020","['21,745']",US
"June 12, 2020","['20,315', '20,315']",US
"June 11, 2020","['17,235']",US
"June 10, 2020","['17,536', '17,536']",US
"June 9, 2020","['17,848']",US
"June 8, 2020","['28,918', '28,918']",US
"June 7, 2020","['28,922']",US
"June 6, 2020","['20,069']",US
"June 5, 2020","['14,583', '14,583']",US
"June 4, 2020","['24,890']",US
"June 3, 2020","['14,692', '14,692']",US
"June 2, 2020","['26,116']",US
"June 1, 2020","['23,482', '23,482']",US
"May 31, 2020","['17,962']",US
"May 30, 2020","['21,214', '21,214']",US
"May 29, 2020","['19,606']",US
"May 28, 2020","['16,362', '16,362']",US
"May 27, 2020","['24,886']",US
"May 26, 2020","['15,253', '15,253']",US
"May 25, 2020","['26,158']",US
"May 24, 2020","['24,151', '24,151']",US
"May 23, 2020","['20,475']",US
"May 22, 2020","['22,787', '22,787']",US
"May 21, 2020","['23,310']",US
"May 20, 2020","['24,417']",US
"May 19, 2020","['13,227', '13,227']",US
"May 18, 2020","['31,967']",US
"May 17, 2020","['22,813', '22,813']",US
"May 16, 2020","['27,090']",US
"May 15, 2020","['20,840', '20,840']",US
"May 14, 2020","['21,424']",US
"May 13, 2020","['18,044', '18,044']",US
"May 12, 2020","['23,767']",US
"May 11, 2020","['26,642', '26,642']",US
"May 10, 2020","['25,870']",US
"May 9, 2020","['30,204', '30,204']",US
"May 8, 2020","['22,119']",US
"May 7, 2020","['22,267', '22,267']",US
"May 6, 2020","['16,200']",US
"May 5, 2020","['29,266', '29,266']",US
"May 4, 2020","['31,839']",US
"May 3, 2020","['26,753', '26,753']",US
"May 2, 2020","['31,774']",US
"May 1, 2020","['31,379']",US
"April 30, 2020","['20,517', '20,517']",US
"April 29, 2020","['22,541']",US
"April 28, 2020","['29,218', '29,218']",US
"April 27, 2020","['32,417']",US
"April 26, 2020","['38,509', '38,509']",US
"April 25, 2020","['30,719']",US
"April 24, 2020","['29,127', '29,127']",US
"April 23, 2020","['24,019']",US
"April 22, 2020","['25,634', '25,634']",US
"April 21, 2020","['27,668']",US
"April 20, 2020","['28,252', '28,252']",US
"April 19, 2020","['30,023']",US
"April 18, 2020","['32,549', '32,549']",US
"April 17, 2020","['28,711']",US
"April 16, 2020","['25,802', '25,802']",US
"April 15, 2020","['24,446']",US
"April 14, 2020","['29,308', '29,308']",US
"April 13, 2020","['31,633']",US
"April 12, 2020","['31,606']",US
"April 11, 2020","['35,386', '35,386']",US
"April 10, 2020","['30,859']",US
"April 9, 2020","['31,709', '31,709']",US
"April 8, 2020","['29,510']",US
"April 7, 2020","['26,493', '26,493']",US
"April 6, 2020","['33,510']",US
"April 5, 2020","['32,105', '32,105']",US
"April 4, 2020","['28,103']",US
"April 3, 2020","['26,298', '26,298']",US
"April 2, 2020","['24,103']",US
"April 1, 2020","['22,559', '22,559']",US
"March 31, 2020","['17,987']",US
"March 30, 2020","['19,332', '19,332']",US
"March 29, 2020","['18,093']",US
"March 28, 2020","['16,894', '16,894']",US
"March 27, 2020",['0'],US
"March 26, 2020","['16,420', '16,420']",US
"March 25, 2020",['0'],US
"March 24, 2020","['20,341']",US
"March 23, 2020","['16,354', '16,354']",US
"March 22, 2020",['0'],US
"March 21, 2020","['0', '0']",US
"March 20, 2020","['4,777']",US
"March 19, 2020","['3,351', '3,351']",US
"March 18, 2020","['3,551']",US
"March 17, 2020","['1,822', '1,822']",US
"March 16, 2020",['0'],US
"March 15, 2020","['36', '36']",US
"March 14, 2020",['414'],US
"March 13, 2020","['277', '277']",US
"March 12, 2020",['291'],US
"March 11, 2020","['0', '0']",US
"March 10, 2020",['224'],US
"March 9, 2020","['259', '259']",US
"March 8, 2020",['0'],US
"March 7, 2020","['0', '0']",US
"March 6, 2020",['84'],US
"March 5, 2020",['0'],US
"March 4, 2020","['21', '21']",US
"March 3, 2020",['44'],US
"March 2, 2020","['2', '2']",US
"March 1, 2020",['0'],US
"February 29, 2020","['0', '0']",US
"February 28, 2020",['3'],US
"February 27, 2020","['0', '0']",US
"February 26, 2020",['6'],US
"February 25, 2020","['0', '0']",US
"February 24, 2020",['18'],US
"February 23, 2020","['0', '0']",US
"February 22, 2020",['1'],US
"February 21, 2020","['19', '19']",US
"February 20, 2020",['0'],US
"February 19, 2020","['0', '0']",US
"February 18, 2020",['0'],US
"February 17, 2020","['0', '0']",US
"February 16, 2020",['0'],US
"February 15, 2020",['0'],US
"February 14, 2020","['0', '0']",US
"February 13, 2020",['2'],US
"February 12, 2020","['0', '0']",US
"February 11, 2020",['1'],US
"February 10, 2020","['0', '0']",US
"February 9, 2020",['0'],US
"February 8, 2020","['0', '0']",US
"February 7, 2020",['0'],US
"February 6, 2020","['1', '1']",US
"February 5, 2020",['0'],US
"February 4, 2020","['0', '0']",US
"February 3, 2020",['3'],US
"February 2, 2020","['0', '0']",US
"February 1, 2020",['1'],US
"January 31, 2020","['1', '1']",US
"January 30, 2020",['1'],US
"January 29, 2020","['0', '0']",US
"January 28, 2020",['0'],US
"January 27, 2020",['0'],US
"January 26, 2020","['3', '3']",US
"January 25, 2020",['0'],US
"January 24, 2020","['1', '1']",US
"January 23, 2020",['0'],US
"January 22, 2020","['0', '0']",US
"January 21, 2020",['0'],US
"January 20, 2020","['5', '5']",US
"January 19, 2020",['0'],US
"January 18, 2020","['0', '0']",US
"January 17, 2020",['0'],US
"January 16, 2020","['0', '0']",US
"January 15, 2020",['0'],US
"January 14, 2020","['0', '0']",US
"January 13, 2020",['0'],US
"January 12, 2020","['0', '0']",US
"January 11, 2020",['0'],US
"January 10, 2020","['0', '0']",US
"January 9, 2020",['0'],US
"January 8, 2020",['0'],US
"January 7, 2020","['0', '0']",US
"January 6, 2020",['0'],US
"January 5, 2020","['0', '0']",US
"January 4, 2020",['0'],US
"February 18, 2021","['4,003']",AR
"February 17, 2021","['3,259']",AR
"February 16, 2021","['0', '0']",AR
"February 15, 2021","['4,245']",AR
"February 14, 2021","['13,208', '13,208']",AR
"February 13, 2021","['7,311']",AR
"February 12, 2021","['7,739', '7,739']",AR
"February 11, 2021","['7,794']",AR
"February 10, 2021","['5,154', '5,154']",AR
"February 9, 2021","['3,658']",AR
"February 8, 2021","['6,680', '6,680']",AR
"February 7, 2021","['8,374']",AR
"February 6, 2021","['8,891']",AR
"February 5, 2021","['9,196', '9,196']",AR
"February 4, 2021","['9,695']",AR
"February 3, 2021","['6,614', '6,614']",AR
"February 2, 2021","['4,975']",AR
"February 1, 2021","['6,902', '6,902']",AR
"January 31, 2021","['9,838']",AR
"January 30, 2021","['9,471', '9,471']",AR
"January 29, 2021","['10,843']",AR
"January 28, 2021","['10,409', '10,409']",AR
"January 27, 2021","['7,578']",AR
"January 26, 2021","['5,031', '5,031']",AR
"January 25, 2021","['8,362']",AR
"January 24, 2021","['10,753', '10,753']",AR
"January 23, 2021","['11,396']",AR
"January 22, 2021","['12,112', '12,112']",AR
"January 21, 2021","['12,141']",AR
"January 20, 2021","['8,185', '8,185']",AR
"January 19, 2021","['7,264']",AR
"January 18, 2021","['8,932']",AR
"January 17, 2021","['12,332', '12,332']",AR
"January 16, 2021","['13,286']",AR
"January 15, 2021","['12,725', '12,725']",AR
"January 14, 2021","['13,783']",AR
"January 13, 2021","['8,704', '8,704']",AR
"January 12, 2021","['7,808']",AR
"January 11, 2021","['11,057', '11,057']",AR
"January 10, 2021","['13,346']",AR
"January 9, 2021","['13,835', '13,835']",AR
"January 8, 2021","['13,441']",AR
"January 7, 2021","['13,790', '13,790']",AR
"January 6, 2021","['8,222']",AR
"January 5, 2021","['5,884', '5,884']",AR
"January 4, 2021","['5,240']",AR
"January 3, 2021","['4,080', '4,080']",AR
"January 2, 2021","['11,586']",AR
"January 1, 2021","['11,765', '11,765']",AR
"December 31, 2020","['11,650']",AR
"December 30, 2020","['6,586']",AR
"December 29, 2020","['5,660', '5,660']",AR
"December 28, 2020","['3,713']",AR
"December 27, 2020","['2,874', '2,874']",AR
"December 26, 2020","['7,815']",AR
"December 25, 2020","['8,586', '8,586']",AR
"December 24, 2020","['8,141']",AR
"December 23, 2020","['5,853', '5,853']",AR
"December 22, 2020","['4,116']",AR
"December 21, 2020","['5,795', '5,795']",AR
"December 20, 2020","['7,002']",AR
"December 19, 2020","['7,326', '7,326']",AR
"December 18, 2020","['6,843']",AR
"December 17, 2020","['6,981', '6,981']",AR
"December 16, 2020","['5,062']",AR
"December 15, 2020","['3,558', '3,558']",AR
"December 14, 2020","['5,274']",AR
"December 13, 2020","['5,952', '5,952']",AR
"December 12, 2020","['8,154']",AR
"December 11, 2020","['5,303']",AR
"December 10, 2020","['3,610', '3,610']",AR
"December 9, 2020","['3,199']",AR
"December 8, 2020","['3,278', '3,278']",AR
"December 7, 2020","['5,201']",AR
"December 6, 2020","['6,899', '6,899']",AR
"December 5, 2020","['7,629']",AR
"December 4, 2020","['7,533', '7,533']",AR
"December 3, 2020","['8,037']",AR
"December 2, 2020","['5,726', '5,726']",AR
"December 1, 2020","['5,432']",AR
"November 30, 2020","['6,098', '6,098']",AR
"November 29, 2020","['7,846']",AR
"November 28, 2020","['9,043', '9,043']",AR
"November 27, 2020","['8,593']",AR
"November 26, 2020","['7,164', '7,164']",AR
"November 25, 2020","['4,265']",AR
"November 24, 2020","['4,184', '4,184']",AR
"November 23, 2020","['7,140']",AR
"November 22, 2020","['9,608']",AR
"November 21, 2020","['10,097', '10,097']",AR
"November 20, 2020","['10,332']",AR
