Date,Open,High,Low,Close*,Adj Close**,Volume,Index
"Oct 26, 2020","1,403.52","1,404.49","1,395.70","1,397.61","1,397.61","58,987,400",^TA125.TA
"Oct 25, 2020",-,-,-,-,-,-,^TA125.TA
"Oct 22, 2020","1,388.47","1,398.58","1,385.51","1,395.49","1,395.49","56,028,600",^TA125.TA
"Oct 21, 2020","1,406.54","1,406.54","1,395.13","1,400.27","1,400.27","46,286,100",^TA125.TA
"Oct 20, 2020","1,404.38","1,409.90","1,399.43","1,405.15","1,405.15","58,965,400",^TA125.TA
"Oct 19, 2020","1,414.46","1,419.61","1,405.84","1,406.27","1,406.27","60,086,500",^TA125.TA
"Oct 18, 2020",-,-,-,-,-,-,^TA125.TA
"Oct 15, 2020","1,403.43","1,404.73","1,395.21","1,398.02","1,398.02","99,989,600",^TA125.TA
"Oct 14, 2020","1,407.85","1,419.80","1,407.68","1,414.40","1,414.40","56,066,200",^TA125.TA
"Oct 13, 2020","1,410.53","1,415.46","1,403.87","1,405.88","1,405.88","68,766,500",^TA125.TA
"Oct 12, 2020","1,410.74","1,418.70","1,406.55","1,413.93","1,413.93","76,795,600",^TA125.TA
"Oct 11, 2020",-,-,-,-,-,-,^TA125.TA
"Oct 08, 2020","1,401.38","1,407.31","1,401.16","1,403.75","1,403.75","57,987,500",^TA125.TA
"Oct 07, 2020","1,391.77","1,396.55","1,383.66","1,388.02","1,388.02","72,223,800",^TA125.TA
"Oct 06, 2020","1,388.89","1,394.10","1,382.12","1,387.90","1,387.90","59,520,700",^TA125.TA
"Oct 05, 2020","1,373.52","1,387.34","1,373.21","1,385.67","1,385.67","57,614,500",^TA125.TA
"Oct 04, 2020",-,-,-,-,-,-,^TA125.TA
"Oct 01, 2020","1,345.95","1,359.25","1,342.22","1,358.48","1,358.48","107,349,000",^TA125.TA
"Sep 30, 2020","1,323.95","1,347.04","1,319.00","1,345.88","1,345.88","67,475,300",^TA125.TA
"Sep 29, 2020","1,322.88","1,333.11","1,317.19","1,332.51","1,332.51","70,280,700",^TA125.TA
"Sep 24, 2020","1,307.57","1,315.61","1,295.09","1,305.28","1,305.28","125,307,900",^TA125.TA
"Sep 23, 2020","1,347.35","1,349.33","1,322.24","1,325.33","1,325.33","114,470,600",^TA125.TA
"Sep 22, 2020","1,344.03","1,354.95","1,342.54","1,345.16","1,345.16","58,236,000",^TA125.TA
"Sep 21, 2020","1,354.10","1,358.93","1,341.44","1,344.61","1,344.61","76,325,400",^TA125.TA
"Sep 17, 2020","1,346.72","1,359.90","1,340.01","1,358.73","1,358.73","149,209,200",^TA125.TA
"Sep 16, 2020","1,364.22","1,371.71","1,361.12","1,365.70","1,365.70","80,697,300",^TA125.TA
"Sep 15, 2020","1,363.44","1,375.21","1,361.49","1,367.68","1,367.68","60,283,800",^TA125.TA
"Sep 14, 2020","1,352.01","1,363.52","1,351.10","1,363.11","1,363.11","64,404,300",^TA125.TA
"Sep 13, 2020",-,-,-,-,-,-,^TA125.TA
"Sep 10, 2020","1,346.29","1,349.90","1,324.86","1,335.01","1,335.01","87,393,000",^TA125.TA
"Sep 09, 2020","1,349.87","1,360.17","1,344.98","1,354.36","1,354.36","68,110,600",^TA125.TA
"Sep 08, 2020","1,379.48","1,386.37","1,342.44","1,353.55","1,353.55","65,020,600",^TA125.TA
"Sep 07, 2020","1,360.98","1,381.22","1,357.04","1,374.06","1,374.06","42,088,800",^TA125.TA
"Sep 06, 2020",-,-,-,-,-,-,^TA125.TA
"Sep 03, 2020","1,411.28","1,414.44","1,368.93","1,379.81","1,379.81","171,459,300",^TA125.TA
"Sep 02, 2020","1,429.52","1,431.36","1,414.44","1,415.16","1,415.16","58,069,300",^TA125.TA
"Sep 01, 2020","1,427.98","1,431.37","1,412.02","1,416.89","1,416.89","61,050,800",^TA125.TA
"Aug 31, 2020","1,439.58","1,442.05","1,418.67","1,420.42","1,420.42","67,452,000",^TA125.TA
"Aug 30, 2020",-,-,-,-,-,-,^TA125.TA
"Aug 27, 2020","1,453.33","1,455.03","1,438.00","1,438.41","1,438.41","89,931,600",^TA125.TA
"Aug 26, 2020","1,438.33","1,457.16","1,436.90","1,455.54","1,455.54","55,474,600",^TA125.TA
"Aug 25, 2020","1,441.34","1,448.95","1,437.21","1,441.71","1,441.71","62,605,000",^TA125.TA
"Aug 24, 2020","1,445.62","1,449.08","1,432.50","1,434.09","1,434.09","50,493,600",^TA125.TA
